Date,USD,GBP,JPY_100,EUR,CHF,updated_at
15/05/1948,2.5e-05,,,,,2026-04-28 19:06:44
19/09/1949,3.57e-05,,,,,2026-04-28 19:06:44
01/01/1954,0.00018,,,,,2026-04-28 19:06:44
10/02/1962,0.0003,0.0008442,,,6.939e-05,2026-04-28 19:06:44
19/11/1967,0.00035,0.0008463,,,8.107e-05,2026-04-28 19:06:44
22/08/1971,0.00042,0.00101576,,,0.00010332,2026-04-28 19:06:44
10/11/1974,0.0006,0.0013977,0.0002,,0.00021409,2026-04-28 19:06:44
18/06/1975,0.000612,0.00137553,0.0002,,0.00024564,2026-04-28 19:06:44
05/08/1975,0.000624,0.00132694,0.0002,,0.00023081,2026-04-28 19:06:44
09/09/1975,0.000636,0.0013321,0.0002,,0.0002356,2026-04-28 19:06:44
28/09/1975,0.0007,0.00142065,0.0002,,0.0002528,2026-04-28 19:06:44
24/11/1975,0.00071,0.00143895,0.0002,,0.0002654,2026-04-28 19:06:44
04/01/1976,0.000724,0.00145625,0.0002,,0.00027476,2026-04-28 19:06:44
11/02/1976,0.000738,0.00148744,0.0002,,0.0002871,2026-04-28 19:06:44
15/03/1976,0.000752,0.00143707,0.0002,,0.00028918,2026-04-28 19:06:44
19/04/1976,0.000767,0.00141358,0.0003,,0.00030239,2026-04-28 19:06:44
20/05/1976,0.000782,0.00140071,0.0003,,0.00031349,2026-04-28 19:06:44
24/06/1976,0.000797,0.0014055,0.0003,,0.00031989,2026-04-28 19:06:44
19/07/1976,0.000812,0.00143359,0.0003,,0.00032624,2026-04-28 19:06:44
20/07/1976,0.00081305,,,,,2026-04-28 19:06:44
21/07/1976,0.00081144,,,,,2026-04-28 19:06:44
22/07/1976,0.00081186,,,,,2026-04-28 19:06:44
23/07/1976,0.00081214,,,,,2026-04-28 19:06:44
26/07/1976,0.00081296,,,,,2026-04-28 19:06:44
27/07/1976,0.0008128,,,,,2026-04-28 19:06:44
28/07/1976,0.00081145,,,,,2026-04-28 19:06:44
29/07/1976,0.0008097,,,,,2026-04-28 19:06:44
30/07/1976,0.00080975,,,,,2026-04-28 19:06:44
01/08/1976,0.0008078,,,,,2026-04-28 19:06:44
02/08/1976,0.00080835,,,,,2026-04-28 19:06:44
03/08/1976,0.00080812,,,,,2026-04-28 19:06:44
04/08/1976,0.00080815,,,,,2026-04-28 19:06:44
06/08/1976,0.0008099,,,,,2026-04-28 19:06:44
08/08/1976,0.0008091,,,,,2026-04-28 19:06:44
09/08/1976,0.00080885,,,,,2026-04-28 19:06:44
10/08/1976,0.00080888,,,,,2026-04-28 19:06:44
11/08/1976,0.00080973,,,,,2026-04-28 19:06:44
12/08/1976,0.00080945,,,,,2026-04-28 19:06:44
13/08/1976,0.00081018,,,,,2026-04-28 19:06:44
15/08/1976,0.00081063,,,,,2026-04-28 19:06:44
16/08/1976,0.0008109,,,,,2026-04-28 19:06:44
17/08/1976,0.000809,,,,,2026-04-28 19:06:44
18/08/1976,0.000807,,,,,2026-04-28 19:06:44
19/08/1976,0.0008082,,,,,2026-04-28 19:06:44
20/08/1976,0.00080833,,,,,2026-04-28 19:06:44
22/08/1976,0.0008088,,,,,2026-04-28 19:06:44
23/08/1976,0.0008079,,,,,2026-04-28 19:06:44
24/08/1976,0.00080714,,,,,2026-04-28 19:06:44
25/08/1976,0.00082075,0.00145176,0.0003,,0.00033178,2026-04-28 19:06:44
26/08/1976,0.00082052,,,,,2026-04-28 19:06:44
27/08/1976,0.00081974,,,,,2026-04-28 19:06:44
29/08/1976,0.00082013,,,,,2026-04-28 19:06:44
30/08/1976,0.00081927,,,,,2026-04-28 19:06:44
31/08/1976,0.00081913,,,,,2026-04-28 19:06:44
01/09/1976,0.00081934,,,,,2026-04-28 19:06:44
02/09/1976,0.00081929,,,,,2026-04-28 19:06:44
03/09/1976,0.00081971,,,,,2026-04-28 19:06:44
05/09/1976,0.00081928,,,,,2026-04-28 19:06:44
06/09/1976,0.00081938,,,,,2026-04-28 19:06:44
07/09/1976,0.00081913,,,,,2026-04-28 19:06:44
08/09/1976,0.00081941,,,,,2026-04-28 19:06:44
09/09/1976,0.00082212,,,,,2026-04-28 19:06:44
10/09/1976,0.00082168,,,,,2026-04-28 19:06:44
12/09/1976,0.00082047,,,,,2026-04-28 19:06:44
13/09/1976,0.00082038,,,,,2026-04-28 19:06:44
14/09/1976,0.00082139,,,,,2026-04-28 19:06:44
15/09/1976,0.00082053,,,,,2026-04-28 19:06:44
