Date    ,USD
15/05/1948,0.000025
19/09/1949,0.0000357
01/01/1954,0.00018
10/02/1962,0.0003
19/11/1967,0.00035
22/08/1971,0.00042
10/11/1974,0.0006
18/06/1975,0.000612
05/08/1975,0.000624
09/09/1975,0.000636
28/09/1975,0.0007
24/11/1975,0.00071
04/01/1976,0.000724
11/02/1976,0.000738
15/03/1976,0.000752
19/04/1976,0.000767
20/05/1976,0.000782
24/06/1976,0.000797
19/07/1976,0.000812
20/07/1976,0.00081305
21/07/1976,0.00081144
22/07/1976,0.00081186
23/07/1976,0.00081214
26/07/1976,0.00081296
27/07/1976,0.0008128
28/07/1976,0.00081145
29/07/1976,0.0008097
30/07/1976,0.00080975
01/08/1976,0.0008078
02/08/1976,0.00080835
03/08/1976,0.00080812
04/08/1976,0.00080815
06/08/1976,0.0008099
08/08/1976,0.0008091
09/08/1976,0.00080885
10/08/1976,0.00080888
11/08/1976,0.00080973
12/08/1976,0.00080945
13/08/1976,0.00081018
15/08/1976,0.00081063
16/08/1976,0.0008109
17/08/1976,0.000809
18/08/1976,0.000807
19/08/1976,0.0008082
20/08/1976,0.00080833
22/08/1976,0.0008088
23/08/1976,0.0008079
24/08/1976,0.00080714
25/08/1976,0.00082075
26/08/1976,0.00082052
27/08/1976,0.00081974
29/08/1976,0.00082013
30/08/1976,0.00081927
31/08/1976,0.00081913
01/09/1976,0.00081934
02/09/1976,0.00081929
03/09/1976,0.00081971
05/09/1976,0.00081928
06/09/1976,0.00081938
07/09/1976,0.00081913
08/09/1976,0.00081941
09/09/1976,0.00082212
10/09/1976,0.00082168
12/09/1976,0.00082047
13/09/1976,0.00082038
14/09/1976,0.00082139
15/09/1976,0.00082053
16/09/1976,0.00081872
17/09/1976,0.00081898
19/09/1976,0.0008195
20/09/1976,0.00082012
21/09/1976,0.00082121
22/09/1976,0.00082014
23/09/1976,0.00081967
24/09/1976,0.00082186
27/09/1976,0.00082248
28/09/1976,0.00082525
29/09/1976,0.00084024
30/09/1976,0.00083927
02/10/1976,0.00083748
05/10/1976,0.00083896
06/10/1976,0.00083935
07/10/1976,0.00083872
08/10/1976,0.00083811
10/10/1976,0.00083922
11/10/1976,0.00083971
12/10/1976,0.00084019
13/10/1976,0.0008408
14/10/1976,0.00084108
15/10/1976,0.00084252
17/10/1976,0.00084163
18/10/1976,0.00084281
19/10/1976,0.00084144
20/10/1976,0.00084003
21/10/1976,0.00083938
22/10/1976,0.00083992
24/10/1976,0.00083925
25/10/1976,0.00084492
26/10/1976,0.00084483
27/10/1976,0.00084563
28/10/1976,0.00084543
29/10/1976,0.00084212
31/10/1976,0.0008601
01/11/1976,0.00085947
02/11/1976,0.00086036
03/11/1976,0.00085928
04/11/1976,0.00085743
05/11/1976,0.00085655
07/11/1976,0.00085774
08/11/1976,0.00085792
09/11/1976,0.00085685
10/11/1976,0.00085636
11/11/1976,0.00085648
12/11/1976,0.000857
14/11/1976,0.00085623
15/11/1976,0.00085547
16/11/1976,0.00085553
17/11/1976,0.00085465
18/11/1976,0.0008534
19/11/1976,0.0008514
21/11/1976,0.00085178
22/11/1976,0.0008507
23/11/1976,0.00085326
24/11/1976,0.00086934
25/11/1976,0.00087018
26/11/1976,0.00086975
28/11/1976,0.00086977
29/11/1976,0.00087014
30/11/1976,0.00087024
01/12/1976,0.00086957
02/12/1976,0.00086936
03/12/1976,0.00086894
05/12/1976,0.00086909
06/12/1976,0.00086882
07/12/1976,0.00086834
08/12/1976,0.00086739
09/12/1976,0.000867
10/12/1976,0.00086664
12/12/1976,0.00086648
13/12/1976,0.00086588
14/12/1976,0.00086494
15/12/1976,0.00086526
16/12/1976,0.000867
17/12/1976,0.00086624
19/12/1976,0.0008648
20/12/1976,0.00086417
21/12/1976,0.00086183
22/12/1976,0.00086207
23/12/1976,0.00086148
24/12/1976,0.00087854
26/12/1976,0.00087818
27/12/1976,0.00087807
28/12/1976,0.00087571
29/12/1976,0.00087617
30/12/1976,0.00087527
31/12/1976,0.00087524
03/01/1977,0.0008734
04/01/1977,0.00087211
05/01/1977,0.00087243
06/01/1977,0.00087305
07/01/1977,0.00087468
09/01/1977,0.00087574
10/01/1977,0.00087756
11/01/1977,0.00087654
12/01/1977,0.00087714
13/01/1977,0.00087777
14/01/1977,0.00087883
16/01/1977,0.00087943
17/01/1977,0.00089656
18/01/1977,0.0008956
19/01/1977,0.00089627
20/01/1977,0.00089609
21/01/1977,0.00089547
23/01/1977,0.00089585
24/01/1977,0.0008954
25/01/1977,0.00089816
26/01/1977,0.00089884
27/01/1977,0.00089806
28/01/1977,0.000898
30/01/1977,0.00089882
31/01/1977,0.00089813
01/02/1977,0.00089665
02/02/1977,0.00089741
03/02/1977,0.0008979
04/02/1977,0.00089767
06/02/1977,0.00089786
07/02/1977,0.00089813
08/02/1977,0.00089711
09/02/1977,0.00089666
10/02/1977,0.00089586
11/02/1977,0.00089662
13/02/1977,0.00089631
14/02/1977,0.00089595
15/02/1977,0.00089709
16/02/1977,0.00089667
17/02/1977,0.00089648
18/02/1977,0.00089664
20/02/1977,0.00089605
21/02/1977,0.00089618
22/02/1977,0.00089582
23/02/1977,0.0008964
24/02/1977,0.00089741
25/02/1977,0.00089634
27/02/1977,0.00089574
28/02/1977,0.00089597
01/03/1977,0.0008943
02/03/1977,0.00091279
04/03/1977,0.00091201
07/03/1977,0.00091268
08/03/1977,0.00091258
09/03/1977,0.0009128
10/03/1977,0.00091285
11/03/1977,0.00091295
13/03/1977,0.00091278
14/03/1977,0.0009124
15/03/1977,0.00091263
16/03/1977,0.0009125
17/03/1977,0.00091225
18/03/1977,0.00091204
20/03/1977,0.00091208
21/03/1977,0.00092891
22/03/1977,0.00092891
25/03/1977,0.00092868
27/03/1977,0.00092857
28/03/1977,0.00092854
29/03/1977,0.00092803
30/03/1977,0.00092833
31/03/1977,0.00092784
01/04/1977,0.00092803
04/04/1977,0.00092785
05/04/1977,0.00092789
06/04/1977,0.00092773
07/04/1977,0.00092774
08/04/1977,0.00092734
10/04/1977,0.00092737
11/04/1977,0.0009273
12/04/1977,0.00092686
13/04/1977,0.0009259
